wavelength,reflectance
402.534,13.61
402.896,11.53
403.258,12.77
403.619,11.98
403.981,12.89
404.343,13.23
404.704,13.07
405.066,12.22
405.427,12.05
405.789,12.42
406.15,12.73
406.512,13.05
406.873,13.03
407.234,12.89
407.596,14.25
407.957,12.26
408.318,13.79
408.679,12.38
409.04,12.85
409.401,12.89
409.762,13.09
410.123,14.44
410.484,13.44
410.845,14.77
411.206,13.87
411.567,14.83
411.927,14.19
412.288,12.47
412.649,13.69
413.009,12.33
413.37,14.89
413.731,13.47
414.091,13.97
414.452,15.37
414.812,13.93
415.172,14.08
415.533,12.36
415.893,14.14
416.253,15.23
416.613,14.25
416.974,13.84
417.334,13.24
417.694,14.92
418.054,14.72
418.414,15.25
418.774,12.81
419.134,13.76
419.494,15.09
419.853,14.56
420.213,15.12
420.573,13.73
420.933,16.04
421.292,13.95
421.652,14.42
422.011,13.81
422.371,14.92
422.73,15.31
423.09,15.53
423.449,14.22
423.809,15.76
424.168,15.1
424.527,15.25
424.887,14.47
425.246,16.5
425.605,15.11
425.964,15.09
426.323,14.28
426.682,14.02
427.041,15.4
427.4,14.05
427.759,15.8
428.118,16
428.477,13.99
428.835,17.02
429.194,14.48
429.553,14.7
429.911,14.22
430.27,16.68
430.629,16.11
430.987,15.71
431.346,15.63
431.704,16.83
432.062,16.19
432.421,15.54
432.779,14.01
433.137,15.62
433.496,16.44
433.854,15.45
434.212,15.9
434.57,15.03
434.928,16.29
435.286,15.12
435.644,16.56
436.002,17.02
436.36,17.41
436.718,16.53
437.075,15.71
437.433,16.13
437.791,14.71
438.149,15.32
438.506,17.21
438.864,17.15
439.221,16.94
439.579,16.32
439.936,16.32
440.294,17.22
440.651,16.37
441.009,15.73
441.366,16.49
441.723,17.18
442.08,16.89
442.437,16.71
442.795,16.21
443.152,16.04
443.509,17.36
443.866,17.19
444.223,16.42
444.58,17.28
444.936,18.07
445.293,15.94
445.65,17.13
446.007,16.99
446.363,15.95
446.72,15.9
447.077,16.6
447.433,17.51
447.79,17.43
448.146,15.54
448.503,16.79
448.859,16.43
449.215,16.28
449.572,16.95
449.928,17.97
450.284,16.65
450.641,15.96
450.997,17.2
451.353,16.65
451.709,16.23
452.065,16.85
452.421,16.74
452.777,16.04
453.133,17.64
453.488,17.34
453.844,17.47
454.2,16.68
454.556,16.81
454.911,17.45
455.267,15.62
455.623,15.36
455.978,15.49
456.334,17.47
456.689,16.19
457.045,18.41
457.4,17.69
457.755,15.37
458.111,17.88
458.466,17.85
458.821,18.03
459.176,18.04
459.531,15.99
459.886,18.37
460.242,16.84
460.597,16.26
460.951,16.46
461.306,17.34
461.661,18.78
462.016,19.19
462.371,16.83
462.726,16.34
463.08,15.93
463.435,17.65
463.79,17.26
464.144,18.12
464.499,19.37
464.853,14.06
465.208,16.82
465.562,18.21
465.916,17.32
466.271,17.31
466.625,16.3
466.979,17.74
467.333,15.75
467.688,17.25
468.042,18.91
468.396,17.54
468.75,17.38
469.104,16.56
469.458,18.3
469.811,18.6
470.165,18.18
470.519,17.84
470.873,19.04
471.227,16.82
471.58,18.4
471.934,16.5
472.287,17.82
472.641,17.55
472.995,19
473.348,16.96
473.701,17.79
474.055,17.23
474.408,18.43
474.761,17.33
475.115,18.19
475.468,19.61
475.821,18.23
476.174,18.46
476.527,17.73
476.88,18.96
477.233,18.07
477.586,19.86
477.939,18.19
478.292,18.93
478.645,19.64
478.998,15.94
479.35,19.79
479.703,18.14
480.056,17.68
480.408,19.17
480.761,19.39
481.113,18.01
481.466,19.19
481.818,18
482.171,17.74
482.523,17.9
482.875,20.5
483.228,19.38
483.58,19.61
483.932,18.46
484.284,19.15
484.636,20.01
484.988,17.61
485.34,18.29
485.692,18.03
486.044,18.73
486.396,17.98
486.748,18.29
487.1,17.97
487.451,18.53
487.803,18.05
488.155,20.09
488.506,19.15
488.858,18.09
489.209,18.87
489.561,18.57
489.912,17.68
490.264,17.72
490.615,17.59
490.966,18.1
491.318,18.19
491.669,17.76
492.02,18.84
492.371,17.97
492.722,17.53
493.073,17.04
493.424,18.04
493.775,18.38
494.126,18.22
494.477,18.02
494.828,19.48
495.179,19.58
495.53,17.7
495.88,19.1
496.231,17.71
496.582,18.19
496.932,18.67
497.283,18.92
497.633,18.76
497.984,16.87
498.334,17.95
498.684,18.54
499.035,19.59
499.385,18.16
499.735,17.58
500.086,18.66
500.436,18.61
500.786,17.49
501.136,18.49
501.486,18.39
501.836,18.14
502.186,18.54
502.536,18.07
502.886,19.14
503.235,17.45
503.585,18.7
503.935,19.58
504.285,18.91
504.634,17.84
504.984,18.1
505.333,17.39
505.683,18.14
506.032,19.34
506.382,19.26
506.731,19.21
507.08,16.38
507.43,17.03
507.779,18.15
508.128,18.02
508.477,17.6
508.826,17.91
509.176,18.39
509.525,18.35
509.874,18.34
510.222,19.16
510.571,19.03
510.92,17.99
511.269,18.31
511.618,17.72
511.967,18.7
512.315,18.39
512.664,17.98
513.012,18.25
513.361,17.53
513.71,18.61
514.058,18.36
514.406,18.92
514.755,18.61
515.103,17.42
515.451,17.37
515.8,16.95
516.148,18.22
516.496,17.41
516.844,18.24
517.192,17.63
517.54,17.29
517.888,19.7
518.236,17.87
518.584,17.02
518.932,17.84
519.28,17.22
519.628,16.1
519.975,18.69
520.323,16.91
