trial,time.delay,day,site,species,attacks
model,one,3,12,model_battus,0
model,one,3,13,model_battus,0
model,one,3,14,model_battus,0
model,one,3,15,model_battus,0
model,one,3,16,model_battus,0
model,one,3,17,model_battus,0
model,one,3,18,model_battus,0
model,one,3,19,model_battus,0
model,one,3,20,model_battus,0
model,one,3,1,model_junonia,0
model,one,3,2,model_junonia,0
model,one,3,3,model_junonia,0
model,one,3,4,model_junonia,0
model,one,3,5,model_junonia,0
model,one,3,6,model_junonia,0
model,one,3,7,model_junonia,1
model,one,3,8,model_junonia,0
model,one,3,9,model_junonia,0
model,one,3,10,model_junonia,0
model,one,3,11,model_junonia,0
model,one,3,12,model_junonia,0
model,one,3,13,model_junonia,0
model,one,3,14,model_junonia,0
model,one,3,15,model_junonia,0
model,one,3,16,model_junonia,0
model,one,3,17,model_junonia,1
model,one,3,18,model_junonia,1
model,one,3,19,model_junonia,0
model,one,3,20,model_junonia,0
model,one,4,1,model_battus,0
model,one,4,2,model_battus,0
model,one,4,3,model_battus,0
model,one,4,4,model_battus,0
model,one,4,5,model_battus,0
model,one,4,6,model_battus,0
model,one,4,7,model_battus,0
model,one,4,8,model_battus,0
model,one,4,9,model_battus,0
model,one,4,10,model_battus,0
model,one,4,11,model_battus,0
model,one,4,12,model_battus,0
model,one,4,13,model_battus,0
model,one,4,14,model_battus,0
model,one,4,15,model_battus,0
model,one,4,16,model_battus,0
model,one,4,17,model_battus,0
model,one,4,18,model_battus,0
model,one,4,19,model_battus,0
model,one,4,20,model_battus,0
model,one,4,1,model_junonia,0
model,one,4,2,model_junonia,0
model,one,4,3,model_junonia,0
model,one,4,4,model_junonia,1
model,one,4,5,model_junonia,0
model,one,4,6,model_junonia,1
model,one,4,7,model_junonia,0
model,one,4,8,model_junonia,0
model,one,4,9,model_junonia,0
model,one,4,10,model_junonia,0
model,one,4,11,model_junonia,0
model,one,4,12,model_junonia,0
model,one,4,13,model_junonia,0
model,one,4,14,model_junonia,0
model,one,4,15,model_junonia,0
model,one,4,16,model_junonia,0
model,one,4,17,model_junonia,0
model,one,4,18,model_junonia,0
model,one,4,19,model_junonia,0
model,one,4,20,model_junonia,0
