wavelength,reflectance
574.37,20.48
574.711,20.41
575.052,21.05
575.393,20.06
575.733,20.7
576.074,21.19
576.414,20.41
576.755,20.27
577.095,20.2
577.436,20.31
577.776,20.9
578.117,20.43
578.457,20.74
578.797,20.18
579.137,20.76
579.478,19.41
579.818,19.31
580.158,19.87
580.498,19.65
580.838,19.8
581.178,19.49
581.518,20.26
581.858,19.87
582.197,19.46
582.537,19.29
582.877,18.69
583.217,18.57
583.556,19.69
583.896,18.82
584.235,19.7
584.575,19.65
584.914,19.1
585.254,19.33
585.593,19.31
585.933,19.1
586.272,19.22
586.611,18.99
586.95,18.21
587.289,19.59
587.629,19.16
587.968,18.47
588.307,18.63
588.646,18.68
588.985,18.5
589.323,18.82
589.662,18.48
590.001,19.04
590.34,19.04
590.679,18.3
591.017,18.73
591.356,18.34
591.695,18.61
592.033,18.51
592.372,19.2
592.71,18.12
593.048,18.09
593.387,18.59
593.725,17.66
594.063,17.87
594.402,18.04
594.74,17.89
595.078,17.25
595.416,17.96
595.754,17.69
596.092,18.49
596.43,17.35
596.768,18.4
597.106,16.72
597.444,17.65
597.781,16.87
598.119,17.21
598.457,18.01
598.795,18.43
599.132,17.09
599.47,17.22
599.807,17.59
600.145,17.73
600.482,17.43
600.82,17.55
601.157,16.91
601.494,16.43
601.831,17.35
602.169,17.26
602.506,17.14
602.843,16.82
603.18,16.48
603.517,17.76
603.854,17.16
604.191,16.41
604.528,17.94
604.865,16.31
605.202,16.18
605.538,17
605.875,17.03
606.212,16.41
606.548,16.47
606.885,16.26
607.222,16.13
607.558,16.61
607.895,16.25
608.231,16.84
608.567,16.13
608.904,16.5
609.24,16.63
609.576,16.18
609.912,16.79
610.248,16.36
610.585,16.56
610.921,15.5
611.257,14.96
611.593,15.01
611.929,15.97
612.264,14.92
612.6,15.58
612.936,16.11
613.272,15.45
613.608,16.67
613.943,15.31
614.279,17.01
614.614,15.49
614.95,14.98
615.285,16.22
615.621,15.19
615.956,15.1
616.292,15.91
616.627,15.21
616.962,15.65
617.297,15.79
617.632,14.93
617.968,14.87
618.303,15.4
618.638,15.35
618.973,14.32
619.308,15.47
619.643,14.12
619.977,14.41
620.312,14.72
620.647,14.26
620.982,15.7
621.316,14.11
621.651,15.27
621.986,14.56
622.32,14.93
622.655,15.71
622.989,14.49
623.324,15.05
623.658,15.89
623.992,14.69
624.326,16.16
624.661,15.21
624.995,13.74
625.329,16.18
625.663,15.54
625.997,13.92
626.331,14.13
626.665,14.97
626.999,15.09
627.333,15.33
627.667,14.37
628.001,13.81
628.334,13.62
628.668,14.33
629.002,13.04
629.335,13.24
629.669,13.92
630.002,14.19
630.336,14.86
630.669,15.47
631.003,15.52
631.336,12.34
631.669,14.02
632.003,14.56
632.336,13.52
632.669,13.22
633.002,13.09
633.335,12.59
633.668,14.38
634.001,14.36
634.334,13.85
634.667,13.73
635,13.38
635.333,14.31
635.665,13.33
635.998,14.73
636.331,13.31
636.663,12.77
636.996,13.4
637.328,15.19
637.661,14.59
637.993,12.72
638.326,13.64
638.658,13.8
638.99,12.67
639.323,13.95
639.655,12.21
639.987,12.78
640.319,11.12
640.651,13.32
640.983,11.8
641.315,14.42
641.647,13.37
641.979,13.76
642.311,12.43
642.643,12.79
642.975,14.8
643.306,12.8
643.638,12.34
643.97,11.72
644.301,13.81
644.633,10.57
644.964,12.93
645.296,11.53
645.627,12.42
645.959,13.8
646.29,11.63
646.621,14.34
646.952,11.46
647.284,13.44
647.615,12.04
647.946,14.65
648.277,11.5
648.608,13.24
648.939,12.1
649.27,11.89
649.601,11.96
649.931,13.35
650.262,12.77
650.593,12.65
650.924,12.39
651.254,10.89
651.585,11.96
651.915,12.14
652.246,13.58
652.576,11.75
652.907,11.9
653.237,12.79
653.568,12.19
653.898,11.63
654.228,13.21
654.558,14.02
654.888,12.02
655.219,12.54
655.549,11.44
655.879,11.69
656.209,12.31
656.539,10.96
656.868,13.92
657.198,11.52
657.528,12.04
657.858,11.37
658.188,11.43
658.517,11.77
658.847,11.35
659.176,11.14
659.506,11.37
659.835,11.15
660.165,11.27
660.494,11.81
660.824,11.98
