wavelength,reflectance
570.619,17.16
570.96,17.08
571.301,17.01
571.642,17.02
571.984,16.97
572.325,16.95
572.666,16.89
573.007,16.88
573.348,16.84
573.689,16.78
574.03,16.77
574.37,16.78
574.711,16.77
575.052,16.74
575.393,16.68
575.733,16.66
576.074,16.64
576.414,16.61
576.755,16.58
577.095,16.55
577.436,16.54
577.776,16.54
578.117,16.49
578.457,16.48
578.797,16.47
579.137,16.45
579.478,16.45
579.818,16.43
580.158,16.42
580.498,16.4
580.838,16.4
581.178,16.38
581.518,16.37
581.858,16.38
582.197,16.33
582.537,16.3
582.877,16.33
583.217,16.31
583.556,16.32
583.896,16.33
584.235,16.34
584.575,16.31
584.914,16.29
585.254,16.28
585.593,16.26
585.933,16.25
586.272,16.25
586.611,16.19
586.95,16.17
587.289,16.16
587.629,16.13
587.968,16.11
588.307,16.11
588.646,16.09
588.985,16.07
589.323,16.06
589.662,16.07
590.001,16.04
590.34,16.05
590.679,16.04
591.017,16.01
591.356,15.98
591.695,15.95
592.033,15.96
592.372,15.94
592.71,15.93
593.048,15.92
593.387,15.85
593.725,15.85
594.063,15.83
594.402,15.82
594.74,15.81
595.078,15.81
595.416,15.82
595.754,15.76
596.092,15.73
596.43,15.68
596.768,15.65
597.106,15.66
597.444,15.65
597.781,15.64
598.119,15.6
598.457,15.59
598.795,15.57
599.132,15.53
599.47,15.53
599.807,15.5
600.145,15.48
600.482,15.45
600.82,15.44
601.157,15.4
601.494,15.34
601.831,15.31
602.169,15.27
602.506,15.23
602.843,15.22
603.18,15.17
603.517,15.16
603.854,15.15
604.191,15.11
604.528,15.1
604.865,15.09
605.202,15.11
605.538,15.1
605.875,15.06
606.212,15.03
606.548,14.98
606.885,14.99
607.222,14.96
607.558,14.95
607.895,14.95
608.231,14.92
608.567,14.88
608.904,14.86
609.24,14.83
609.576,14.83
609.912,14.83
610.248,14.84
610.585,14.8
610.921,14.8
611.257,14.76
611.593,14.75
611.929,14.75
612.264,14.75
612.6,14.72
612.936,14.7
613.272,14.69
613.608,14.66
613.943,14.66
614.279,14.64
614.614,14.63
614.95,14.64
615.285,14.6
615.621,14.6
615.956,14.57
616.292,14.59
616.627,14.57
616.962,14.56
617.297,14.55
617.632,14.52
617.968,14.5
618.303,14.48
618.638,14.47
618.973,14.45
619.308,14.42
619.643,14.42
619.977,14.4
620.312,14.43
620.647,14.41
620.982,14.42
621.316,14.42
621.651,14.43
621.986,14.45
622.32,14.43
622.655,14.46
622.989,14.45
623.324,14.41
623.658,14.41
623.992,14.38
624.326,14.4
624.661,14.38
624.995,14.36
625.329,14.4
625.663,14.35
625.997,14.39
626.331,14.41
626.665,14.39
626.999,14.42
627.333,14.39
627.667,14.42
628.001,14.41
628.334,14.41
628.668,14.4
629.002,14.34
629.335,14.4
629.669,14.39
630.002,14.34
630.336,14.34
630.669,14.34
631.003,14.39
631.336,14.36
631.669,14.36
632.003,14.37
632.336,14.38
632.669,14.41
633.002,14.4
633.335,14.35
633.668,14.35
634.001,14.4
634.334,14.36
634.667,14.33
635,14.3
635.333,14.27
635.665,14.32
635.998,14.32
636.331,14.34
636.663,14.28
636.996,14.3
637.328,14.29
637.661,14.27
637.993,14.32
638.326,14.31
638.658,14.3
638.99,14.3
639.323,14.29
639.655,14.27
639.987,14.26
640.319,14.27
640.651,14.29
640.983,14.31
641.315,14.28
641.647,14.24
641.979,14.24
642.311,14.31
642.643,14.33
642.975,14.29
643.306,14.33
643.638,14.36
643.97,14.35
644.301,14.32
644.633,14.26
644.964,14.3
645.296,14.36
645.627,14.37
645.959,14.36
646.29,14.39
646.621,14.4
646.952,14.41
647.284,14.41
647.615,14.46
647.946,14.5
648.277,14.59
648.608,14.58
648.939,14.6
649.27,14.6
649.601,14.66
649.931,14.7
650.262,14.75
650.593,14.7
650.924,14.7
651.254,14.68
651.585,14.77
651.915,14.73
652.246,14.77
652.576,14.78
652.907,14.8
653.237,14.72
653.568,14.73
653.898,14.74
654.228,14.78
654.558,14.82
654.888,14.81
655.219,14.76
655.549,14.77
655.879,14.74
656.209,14.74
656.539,14.75
656.868,14.76
657.198,14.75
657.528,14.74
657.858,14.73
658.188,14.71
658.517,14.72
658.847,14.73
659.176,14.75
659.506,14.76
659.835,14.77
660.165,14.77
660.494,14.78
660.824,14.78
661.153,14.78
661.482,14.8
661.811,14.83
662.14,14.85
662.47,14.87
662.799,14.85
663.128,14.84
663.457,14.85
663.786,14.88
664.114,14.92
664.443,14.93
664.772,14.99
665.101,15
665.43,15.02
665.758,15.05
666.087,15.04
666.415,15.09
666.744,15.21
667.072,15.21
667.401,15.26
667.729,15.34
668.058,15.4
668.386,15.45
668.714,15.41
669.042,15.51
669.371,15.54
669.699,15.47
670.027,15.58
670.355,15.55
670.683,15.54
671.011,15.5
671.339,15.44
671.666,15.45
671.994,15.39
672.322,15.45
672.65,15.38
672.977,15.39
673.305,15.46
673.633,15.38
673.96,15.39
674.288,15.38
674.615,15.38
674.943,15.35
675.27,15.39
675.597,15.42
675.924,15.4
676.252,15.43
676.579,15.42
676.906,15.43
677.233,15.42
677.56,15.42
677.887,15.5
678.214,15.5
678.541,15.48
678.868,15.46
679.195,15.45
679.521,15.48
679.848,15.45
680.175,15.41
680.501,15.41
680.828,15.45
