trial,time.delay,site,species,attacks
simultaneous,zero,6,sim_junonia,2
simultaneous,zero,7,sim_junonia,4
simultaneous,zero,8,sim_junonia,1
simultaneous,zero,9,sim_junonia,1
simultaneous,zero,10,sim_junonia,0
simultaneous,zero,11,sim_junonia,0
simultaneous,zero,12,sim_junonia,0
simultaneous,zero,13,sim_junonia,0
simultaneous,zero,14,sim_junonia,0
simultaneous,zero,15,sim_junonia,0
simultaneous,zero,16,sim_junonia,0
simultaneous,zero,17,sim_junonia,2
simultaneous,zero,18,sim_junonia,0
simultaneous,zero,19,sim_junonia,0
simultaneous,zero,20,sim_junonia,1
