wavelength,reflectance
734.409,14.29
734.728,13.2
735.047,10.96
735.366,12.5
735.684,14.19
736.003,12.38
736.322,10.11
736.641,13.69
736.959,13.58
737.278,13.63
737.596,12.1
737.915,11.93
738.233,10.19
738.552,14.65
738.87,12.29
739.188,14.19
739.507,15.66
739.825,16.91
740.143,13.76
740.461,16.24
740.779,13.13
741.097,12.46
741.415,13.34
741.733,15.39
742.051,17.3
742.369,16.99
742.687,14.91
743.004,12.56
743.322,18.12
743.64,17.29
743.957,18.6
744.275,15.82
744.593,13.81
744.91,16.39
745.227,16.26
745.545,18.93
745.862,17.82
746.179,16.68
746.497,16.37
746.814,16.75
747.131,16.76
747.448,15.69
747.765,18.15
748.082,19.24
748.399,17.57
748.716,18.1
749.033,18.82
749.35,18.47
749.667,16.59
749.983,14.67
750.3,19.38
750.617,20.32
750.933,20.41
751.25,18.41
751.566,17.08
751.883,19.72
752.199,18.15
752.516,20.11
752.832,20.38
753.148,21.89
753.464,21.09
753.781,19.91
754.097,22.55
754.413,21.69
754.729,18.28
755.045,23.02
755.361,22.23
755.677,23.57
755.992,24.44
756.308,23.67
756.624,24.67
756.94,23.82
757.255,23.87
757.571,25.37
757.887,24.35
758.202,24.9
758.518,24.57
758.833,25.33
759.148,25.55
759.464,25.68
759.779,27.25
760.094,28.58
760.41,25.83
760.725,24.04
761.04,27.21
761.355,27.73
761.67,27.01
761.985,27.77
762.3,25.29
762.615,29.02
762.93,26.6
763.244,27.46
763.559,28.69
763.874,28.97
764.188,30.28
764.503,26.84
764.818,30.27
765.132,30.14
765.447,27.4
765.761,28.83
766.075,33.2
766.39,30.75
766.704,30.52
767.018,28.88
767.332,29.32
767.646,31.08
767.961,30.92
768.275,31.46
768.589,30.65
768.903,28.52
769.216,29.84
769.53,34.13
769.844,33.67
770.158,32.27
770.472,34
770.785,30.3
771.099,30.71
771.413,28.59
771.726,33.83
772.04,33.82
772.353,32.51
772.666,31.57
772.98,33.35
773.293,36.21
773.606,34.14
773.919,38.41
774.233,36.78
774.546,33.67
774.859,35.96
775.172,35.22
775.485,35.44
775.798,32.48
776.111,35.98
776.423,31.23
776.736,33.74
777.049,40.15
777.362,33.76
777.674,39.33
777.987,35.74
778.299,35.06
778.612,33.82
778.924,35.09
779.237,31.1
779.549,35.32
779.862,36.53
780.174,36.91
780.486,36.99
780.798,36.14
781.11,34
781.422,38.49
781.735,39.76
782.046,32.51
782.358,31.15
782.67,33.14
782.982,35.51
783.294,33.36
783.606,39.29
783.917,36.73
784.229,36.1
784.541,40.28
784.852,35.83
785.164,35.21
785.475,35.35
785.787,36.67
786.098,40.16
786.41,37.53
786.721,35.02
787.032,41.25
787.343,34.25
787.654,33.36
787.966,34.51
788.277,37.44
788.588,36.94
788.899,42.29
789.209,40.49
789.52,39.59
789.831,36.67
790.142,36.47
