time.delay,experiment.day,site,species,attacks,field.day
one,4,10,junonia,0,5
one,4,11,junonia,0,6
one,4,12,junonia,0,6
one,4,13,junonia,0,6
one,4,14,junonia,0,6
one,4,15,junonia,0,6
one,4,16,junonia,0,7
one,4,17,junonia,0,7
one,4,18,junonia,0,7
one,4,19,junonia,0,7
one,4,20,junonia,0,7
zero,1,1,limenitis,0,1
zero,1,2,limenitis,0,1
zero,1,3,limenitis,0,1
zero,1,4,limenitis,0,1
zero,1,5,limenitis,0,1
zero,1,6,limenitis,0,2
zero,1,7,limenitis,0,2
zero,1,8,limenitis,0,2
zero,1,9,limenitis,0,2
zero,1,10,limenitis,0,2
zero,1,11,limenitis,0,3
zero,1,12,limenitis,0,3
zero,1,13,limenitis,0,3
zero,1,14,limenitis,0,3
zero,1,15,limenitis,1,3
zero,1,16,limenitis,0,4
zero,1,17,limenitis,0,4
zero,1,18,limenitis,0,4
zero,1,19,limenitis,1,4
zero,1,20,limenitis,0,4
zero,1,1,junonia,0,1
zero,1,2,junonia,0,1
zero,1,3,junonia,0,1
zero,1,4,junonia,0,1
zero,1,5,junonia,1,1
zero,1,6,junonia,1,2
zero,1,7,junonia,3,2
zero,1,8,junonia,0,2
zero,1,9,junonia,1,2
zero,1,10,junonia,0,2
zero,1,11,junonia,0,3
zero,1,12,junonia,0,3
zero,1,13,junonia,0,3
zero,1,14,junonia,0,3
zero,1,15,junonia,0,3
zero,1,16,junonia,0,4
zero,1,17,junonia,2,4
zero,1,18,junonia,0,4
zero,1,19,junonia,0,4
zero,1,20,junonia,0,4
zero,2,1,limenitis,0,2
zero,2,2,limenitis,0,2
zero,2,3,limenitis,0,2
zero,2,4,limenitis,0,2
zero,2,5,limenitis,0,2
zero,2,6,limenitis,0,3
zero,2,7,limenitis,0,3
zero,2,8,limenitis,0,3
zero,2,9,limenitis,0,3
zero,2,10,limenitis,0,3
zero,2,11,limenitis,0,4
zero,2,12,limenitis,0,4
zero,2,13,limenitis,0,4
zero,2,14,limenitis,0,4
zero,2,15,limenitis,0,4
zero,2,16,limenitis,0,5
zero,2,17,limenitis,0,5
zero,2,18,limenitis,0,5
zero,2,19,limenitis,0,5
zero,2,20,limenitis,0,5
zero,2,1,junonia,0,2
zero,2,2,junonia,0,2
zero,2,3,junonia,0,2
zero,2,4,junonia,0,2
zero,2,5,junonia,0,2
zero,2,6,junonia,0,3
zero,2,7,junonia,1,3
zero,2,8,junonia,1,3
zero,2,9,junonia,0,3
zero,2,10,junonia,0,3
zero,2,11,junonia,0,4
zero,2,12,junonia,0,4
zero,2,13,junonia,0,4
zero,2,14,junonia,0,4
zero,2,15,junonia,0,4
zero,2,16,junonia,0,5
zero,2,17,junonia,0,5
zero,2,18,junonia,0,5
zero,2,19,junonia,0,5
zero,2,20,junonia,0,5
zero,3,1,limenitis,0,3
zero,3,2,limenitis,0,3
zero,3,3,limenitis,0,3
zero,3,4,limenitis,0,3
zero,3,5,limenitis,0,3
zero,3,6,limenitis,0,4
zero,3,7,limenitis,0,4
zero,3,8,limenitis,0,4
zero,3,9,limenitis,0,4
zero,3,10,limenitis,0,4
zero,3,11,limenitis,0,5
zero,3,12,limenitis,0,5
zero,3,13,limenitis,0,5
zero,3,14,limenitis,0,5
